NO;NPWPD / NAMA WP / ALAMAT;KET.;DESEMBER;JANUARI;PEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOPEMBER;JUMLAH;STATUS
;;Pajak;Rp911.510;Rp767.133;Rp676.680;Rp1.112.887;Rp695.553;Rp644.863;Rp370.290;Rp362.934;Rp367.930;Rp305.453;Rp308.022; Rp- ;Rp6.523.255;
;;Setor;Rp911.510;Rp767.133;Rp676.680;Rp1.112.887;Rp695.553;Rp644.863;Rp370.290;Rp362.934;Rp367.930;Rp305.453;Rp308.022; Rp- ;Rp6.523.255;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
281;32.78.1.0005210.08.003 /LUMIERE / JL. HZ. MUSTOFA NO. 319;Omset;Rp131.088.120;Rp108.726.060;Rp106.672.060;Rp98.625.920;Rp131.426.000;Rp122.370.380;Rp116.372.840;Rp99.790.140;Rp93.715.920;Rp105.641.360;Rp114.095.140; Rp- ;Rp1.228.523.940;AKTIF
;;Pajak;Rp13.108.812;Rp10.872.606;Rp10.667.206;Rp9.862.592;Rp13.142.600;Rp12.237.038;Rp11.637.284;Rp9.979.014;Rp9.371.592;Rp10.564.136;Rp11.409.514; Rp- ;Rp122.852.394;
;;Setor;Rp13.108.812;Rp10.872.606;Rp10.667.206;Rp9.862.592;Rp13.142.600;Rp12.237.038;Rp11.637.284;Rp9.979.014;Rp9.371.592;Rp10.564.136;Rp11.409.514; Rp- ;Rp122.852.394;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
282;32.78.1.0005211.02.001 / JOFFI RAMEN / JL. SUKALAYA;Omset;Rp21.104.000;Rp15.893.300;Rp13.966.200;Rp10.257.905;Rp39.905.420;Rp29.396.700;Rp29.607.850;Rp23.590.950;Rp18.844.050;Rp15.467.400;Rp15.924.840; Rp- ;Rp233.958.615;AKTIF
;;Pajak;Rp2.110.400;Rp1.589.330;Rp1.396.620;Rp1.025.791;Rp3.990.542;Rp2.939.670;Rp2.960.785;Rp2.359.095;Rp1.884.405;Rp1.546.740;Rp1.592.484; Rp- ;Rp23.395.862;
;;Setor;Rp2.110.400;Rp1.589.330;Rp1.396.620;Rp1.025.791;Rp3.990.542;Rp2.939.670;Rp2.960.785;Rp2.359.095;Rp1.884.405;Rp1.546.740;Rp1.592.484; Rp- ;Rp23.395.862;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
283;32.78.1.0005215.02.004 / CREAM AND YOU / KOMPLEK AP JL. HZ MUSTOFA;Omset;Rp4.026.000;Rp3.054.618;Rp2.820.709;Rp2.263.388;Rp2.551.455;Rp3.004.603;Rp3.344.874;Rp2.938.565;Rp2.931.825;Rp2.840.965;Rp2.756.853; Rp- ;Rp32.533.855;AKTIF
;;Pajak;Rp402.600;Rp305.462;Rp282.071;Rp226.339;Rp255.146;Rp300.460;Rp334.487;Rp293.857;Rp293.183;Rp284.097;Rp275.685; Rp- ;Rp3.253.387;
;;Setor;Rp402.600;Rp305.462;Rp282.071;Rp226.339;Rp255.146;Rp300.460;Rp334.487;Rp293.857;Rp293.183;Rp284.097; Rp- ; Rp- ;Rp2.977.702;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
284;32.78.1.0005220.02.004 / WARMINDO AMPERA / JL. SILIWANGI NO. 29;Omset; Rp- ;Rp2.608.500;Rp2.392.500;Rp2.160.500;Rp1.975.000;Rp2.376.000;Rp2.320.000;Rp2.503.000;Rp2.484.000;Rp2.521.500;Rp2.614.500; Rp- ;Rp23.955.500;AKTIF
;;Pajak; Rp- ;Rp260.850;Rp239.250;Rp216.050;Rp197.500;Rp237.600;Rp232.000;Rp250.300;Rp248.400;Rp252.150;Rp261.450; Rp- ;Rp2.395.550;
;;Setor; Rp- ;Rp260.850;Rp239.250;Rp216.050;Rp197.500;Rp237.600;Rp232.000;Rp250.300;Rp248.400;Rp252.150;Rp261.450; Rp- ;Rp2.395.550;
;;Denda; Rp- ;Rp2.609;Rp2.393;Rp2.161;Rp1.975;Rp2.376; Rp- ;Rp2.503;Rp17.388; Rp- ; Rp- ; Rp- ;Rp31.405;
;;Setor Denda; Rp- ;Rp2.609;Rp2.393;Rp2.161;Rp1.975;Rp2.376; Rp- ;Rp2.503;Rp17.388; Rp- ; Rp- ; Rp- ;Rp31.405;
285;32.78.1.0005221.02.006 / LAOBAN BY UNCLE OSH / JALAN SUKAWARNI NO 73;Omset;Rp66.190.000;Rp51.059.000;Rp40.590.000;Rp30.051.000;Rp21.132.000;Rp20.056.000;Rp20.040.000;Rp20.008.000;Rp18.100.000;Rp15.567.000;Rp12.280.000; Rp- ;Rp315.073.000;AKTIF
;;Pajak;Rp6.619.000;Rp5.105.900;Rp4.059.000;Rp3.005.100;Rp2.113.200;Rp2.005.600;Rp2.004.000;Rp2.000.800;Rp1.810.000;Rp1.556.700;Rp1.228.000; Rp- ;Rp31.507.300;
;;Setor;Rp6.619.000;Rp5.105.900;Rp4.059.000;Rp3.005.100;Rp2.113.200;Rp2.005.600;Rp2.004.000;Rp2.000.800;Rp1.810.000;Rp1.556.700; Rp- ; Rp- ;Rp30.279.300;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
286;32.78.1.0005236.08.003 / LAWSON SILIWANGI / JL. SILIWANGI NO. 61A;Omset;Rp237.300.620;Rp123.049.910;Rp72.915.060;Rp63.929.440;Rp81.391.500;Rp34.810.870;Rp30.415.410;Rp35.335.860;Rp33.716.750;Rp21.868.110;Rp27.511.060; Rp- ;Rp762.244.590;AKTIF
;;Pajak;Rp23.730.062;Rp12.304.991;Rp7.291.506;Rp6.392.944;Rp8.139.150;Rp3.481.087;Rp3.041.541;Rp3.533.586;Rp3.371.675;Rp2.186.811;Rp2.751.106; Rp- ;Rp76.224.459;
;;Setor;Rp23.730.062;Rp12.304.991;Rp7.291.506;Rp6.392.944;Rp8.139.150;Rp3.481.087;Rp3.041.541;Rp3.533.586;Rp3.371.675;Rp2.186.811;Rp2.751.106; Rp- ;Rp76.224.459;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
287;32.78.1.0005271.08.005 / TJIN TJONG COFFEE SHOP / JL. DR SUKARJO NO. 37;Omset; Rp- ;Rp25.252.000;Rp40.340.000;Rp20.883.000;Rp50.956.000;Rp22.786.000;Rp25.252.000;Rp25.680.000;Rp28.130.000;Rp24.666.000;Rp27.165.000; Rp- ;Rp291.110.000;AKTIF
;;Pajak; Rp- ;Rp2.525.200;Rp4.034.000;Rp2.088.300;Rp5.095.600;Rp2.278.600;Rp2.525.200;Rp2.568.000;Rp2.813.000;Rp2.466.600;Rp2.716.500; Rp- ;Rp29.111.000;
;;Setor; Rp- ; Rp- ;Rp2.017.000;Rp2.088.300;Rp2.547.800;Rp2.278.600;Rp2.525.200;Rp2.568.000;Rp2.813.000;Rp2.466.600;Rp2.716.500; Rp- ;Rp22.021.000;
;;Denda; Rp- ; Rp- ;Rp40.340;Rp20.883; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp61.223;
;;Setor Denda; Rp- ; Rp- ;Rp40.340;Rp20.883; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp61.223;
288;32.78.1.0005280.02.001 / COFFEE CINCO K / JL. ARGASARI 1;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp9.285.000;Rp9.125.000;Rp8.230.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp26.640.000;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp928.500;Rp912.500;Rp823.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.664.000;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp928.500;Rp912.500;Rp823.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.664.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
289;32.78.1.0005283.04.005 / LUME COFFEE / JL. LEUWIDAHU PERUM SELARAS ALEXA;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp4.727.790;Rp4.088.520;Rp4.096.720;Rp4.271.300;Rp3.264.760; Rp- ; Rp- ;Rp20.449.090;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp472.779;Rp408.852;Rp409.672;Rp427.130;Rp326.476; Rp- ; Rp- ;Rp2.044.909;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp472.779;Rp408.852;Rp409.672;Rp427.130;Rp326.476; Rp- ; Rp- ;Rp2.044.909;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp12.266; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp12.266;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp12.266; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp12.266;
290;32.78.1.0005284.03.001 / MOMOYO MARTADINATA / JL. MARTADINATA;Omset; Rp- ; Rp- ; Rp- ; Rp- ;Rp31.300.000;Rp21.500.000;Rp21.100.000;Rp20.150.000;Rp20.100.000;Rp21.250.000;Rp20.500.000; Rp- ;Rp155.900.000;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ;Rp3.130.000;Rp2.150.000;Rp2.110.000;Rp2.015.000;Rp2.010.000;Rp2.125.000;Rp2.050.000; Rp- ;Rp15.590.000;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ;Rp3.130.000;Rp2.150.000;Rp2.110.000;Rp2.015.000;Rp2.010.000;Rp2.125.000;Rp2.050.000; Rp- ;Rp15.590.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
291;32.78.1.0005287.02.001 / Steak Moen Moen Mayasari / Jl Pasar Weteng Komplek. Mayasari Arcade;Omset; Rp- ; Rp- ; Rp- ; Rp- ;Rp89.475.300;Rp78.610.726;Rp81.815.534;Rp98.810.044;Rp69.874.495;Rp65.305.324;Rp67.565.907; Rp- ;Rp551.457.330;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ;Rp8.947.530;Rp7.861.073;Rp8.181.553;Rp9.881.004;Rp6.987.450;Rp6.530.532;Rp6.756.591; Rp- ;Rp55.145.733;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ;Rp8.947.530;Rp7.861.073;Rp8.181.553;Rp9.881.004;Rp6.987.450;Rp6.530.532;Rp6.756.591; Rp- ;Rp55.145.733;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
292;32.78.1.0005292.10.008 / LYF POOL HALL & COFFEE / JL. LINGKAR UTARA;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp175.566.250;Rp158.076.170;Rp147.494.010;Rp128.025.870;Rp127.646.110; Rp- ; Rp- ;Rp736.808.410;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp17.556.625;Rp15.807.617;Rp14.749.401;Rp12.802.587;Rp12.764.611; Rp- ; Rp- ;Rp73.680.841;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp17.556.625;Rp15.807.617;Rp14.749.401;Rp12.802.587;Rp12.764.611; Rp- ; Rp- ;Rp73.680.841;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
293;32.78.1.0005306.08.005 / KAPTEN KOPI 39 / JL. TARUMANEGARA NO. 18;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp27.590.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp27.590.000;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.759.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.759.000;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.759.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.759.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
294;32.78.1.0005307.03.002 / SEBLAK ZIPAY / JL. BURUJUL 2 NO. 29;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp3.245.000;Rp3.170.000;Rp2.440.000;Rp2.335.000;Rp2.255.000; Rp- ;Rp13.445.000;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp324.500;Rp317.000;Rp244.000;Rp233.500;Rp225.500; Rp- ;Rp1.344.500;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp324.500;Rp317.000;Rp244.000;Rp233.500;Rp225.500; Rp- ;Rp1.344.500;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
295;32.78.1.0005313.00.000 /HAUS / JL. MERUYA ILIR RAYA BLOK H1 NO 15-16;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp14.942.802;Rp66.196.626;Rp37.960.448;Rp42.180.945;Rp28.546.271; Rp- ;Rp189.827.092;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.494.280;Rp6.619.663;Rp3.796.045;Rp4.218.095;Rp2.854.627; Rp- ;Rp18.982.710;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.494.280;Rp6.619.663;Rp3.796.045;Rp4.218.095;Rp2.854.627; Rp- ;Rp18.982.710;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
296;32.78.1.0005314.08.001 / KANTTOR CAFÉ / JL HZ MUSTAFA NO 287;Omset; Rp- ; Rp- ; Rp- ; Rp- ;Rp51.716.335;Rp45.540.909;Rp31.263.309;Rp31.254.468;Rp30.396.985; Rp- ; Rp- ; Rp- ;Rp190.172.006;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ;Rp5.171.634;Rp4.554.091;Rp3.126.331;Rp3.125.447;Rp3.039.699; Rp- ; Rp- ; Rp- ;Rp19.017.202;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ;Rp5.171.634;Rp4.554.091;Rp3.126.331;Rp3.125.447;Rp3.039.699; Rp- ; Rp- ; Rp- ;Rp19.017.202;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ;Rp103.433;Rp45.541; Rp- ;Rp31.254; Rp- ; Rp- ; Rp- ; Rp- ;Rp180.228;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ;Rp103.433;Rp45.541; Rp- ;Rp31.254; Rp- ; Rp- ; Rp- ; Rp- ;Rp180.228;
297;32.78.1.0005320.08.003 / KORELASI DAN MANIS RIANG / JL. ASRAMA NYANTONG;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp25.056.800;Rp25.021.600;Rp25.032.700;Rp25.007.400; Rp- ;Rp100.118.500;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.505.680;Rp2.502.160;Rp2.503.270;Rp2.500.740; Rp- ;Rp10.011.850;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.505.680;Rp2.502.160;Rp2.503.270;Rp2.500.740; Rp- ;Rp10.011.850;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
298;32.78.1.0005321.08.003 / TEMU SUSHI TASIK / JL. IBU APIPAH NO. 02;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp51.306.225;Rp41.496.960;Rp39.115.920;Rp42.344.520; Rp- ;Rp174.263.625;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp5.130.623;Rp4.149.696;Rp3.911.592;Rp4.234.452; Rp- ;Rp17.426.363;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp5.130.623;Rp4.149.696;Rp3.911.592;Rp4.234.452; Rp- ;Rp17.426.363;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
299;32.78.1.0005324.00.000 / EMADOS KEBAB INDONESIA / GRAND BINTARO GARDEN RESIDENCE CLUB HOUSE OFFICE;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp109.410.950;Rp317.395.590; Rp- ; Rp- ; Rp- ;Rp426.806.540;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp10.941.095;Rp31.739.559; Rp- ; Rp- ; Rp- ;Rp42.680.654;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp10.941.095;Rp31.739.559; Rp- ; Rp- ; Rp- ;Rp42.680.654;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp328.233;Rp634.792; Rp- ; Rp- ; Rp- ;Rp963.025;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp328.233;Rp634.792; Rp- ; Rp- ; Rp- ;Rp963.025;
300;32.78.1.0005342.09.005 / MOMOYO LETNAN HARUN / JL. LETNAN HARUN;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp15.000.000;Rp13.000.000; Rp- ;Rp28.000.000;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.500.000;Rp1.300.000; Rp- ;Rp2.800.000;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.500.000;Rp1.300.000; Rp- ;Rp2.800.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
301;32.78.1.0005343.02.006 / SATURASA / SELAKASO NO. 30;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp29.139.016;Rp36.432.800; Rp- ;Rp65.571.816;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.913.902;Rp3.643.280; Rp- ;Rp6.557.182;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.913.902;Rp3.643.280; Rp- ;Rp6.557.182;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
302;32.78.1.0005356.08.002 / UMINO CAFE  /JL. TARUMANAGARA NO. 4;Omset; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp7.000.000;Rp8.000.000;Rp7.000.000; Rp- ;Rp22.000.000;AKTIF
;;Pajak; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp700.000;Rp800.000;Rp700.000; Rp- ;Rp2.200.000;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp700.000;Rp800.000;Rp700.000; Rp- ;Rp2.200.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp7.000; Rp- ; Rp- ; Rp- ;Rp7.000;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp7.000; Rp- ; Rp- ; Rp- ;Rp7.000;
303;32.78.2.0005196.08.003 /KOPI NAKO TASIK / JL. IBU APIPAH NO. 9;Omset;Rp570.568.039;Rp535.388.025;Rp517.140.128;Rp465.560.062;Rp658.149.665;Rp608.695.772;Rp660.765.905;Rp644.342.644;Rp515.667.709;Rp564.408.200;Rp592.687.222; Rp- ;Rp6.333.373.371;AKTIF
;;Pajak;Rp57.056.804;Rp53.538.803;Rp51.714.013;Rp46.556.006;Rp65.814.967;Rp60.869.577;Rp66.076.591;Rp64.434.264;Rp51.566.771;Rp56.440.820;Rp59.268.722; Rp- ;Rp633.337.338;
;;Setor;Rp57.056.804;Rp53.538.803;Rp51.714.013;Rp46.556.006;Rp65.814.967;Rp60.869.577;Rp66.076.591;Rp64.434.264;Rp51.566.771;Rp56.440.820;Rp59.268.722; Rp- ;Rp633.337.338;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
304;32.78.2.0005212.08.001 / CEKER NENG JEBRET / JL. SUTISNA SENJAYA NO. 189;Omset; Rp- ;Rp68.576.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp68.576.000;AKTIF
;;Pajak; Rp- ;Rp6.857.600; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.857.600;
;;Setor; Rp- ;Rp6.857.600; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.857.600;
;;Denda; Rp- ;Rp68.576; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp68.576;
;;Setor Denda; Rp- ;Rp68.576; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp68.576;
305;32.78.2.0005254.09.005 / KIM SEO BANG / JL. LTNAN HARUN NO. 35;Omset; Rp- ; Rp- ;Rp7.000.000;Rp2.500.000;Rp2.650.000;Rp2.580.000;Rp2.020.000;Rp2.000.000;Rp2.010.000;Rp2.050.000;Rp2.150.000; Rp- ;Rp24.960.000;AKTIF
;;Pajak; Rp- ; Rp- ;Rp700.000;Rp250.000;Rp265.000;Rp258.000;Rp202.000;Rp200.000;Rp201.000;Rp205.000;Rp215.000; Rp- ;Rp2.496.000;
;;Setor; Rp- ; Rp- ;Rp700.000;Rp250.000;Rp265.000;Rp258.000;Rp202.000;Rp200.000;Rp201.000;Rp205.000;Rp215.000; Rp- ;Rp2.496.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp4.040;Rp2.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.040;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp4.040;Rp2.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.040;
