NO;NPWPD / NAMA WP / ALAMAT;KET.;DESEMBER;JANUARI;PEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOPEMBER;JUMLAH;STATUS
16;32.78.1.0003051.09.001 / PT. TRANS RETAIL INDONESIA / Jl. Ir. H. Juanda Tasikmalaya;Omset;Rp3.831.818;Rp5.807.118;Rp5.168.182; Rp- ;Rp19.689.091;Rp3.677.273; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp38.173.482;AKTIF
;;Pajak;Rp383.182;Rp580.712;Rp516.818; Rp- ;Rp1.968.909;Rp367.727; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp3.817.348;
;;Setor;Rp383.182;Rp580.712;Rp516.818; Rp- ;Rp1.968.909;Rp367.727; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp3.817.348;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp3.678; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp3.678;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp3.678; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp3.678;
17;32.78.1.0003081.09.001 / PT. NUSA PRIMA PANGAN / Jl. Ir. Juanda;Omset;Rp319.551.140;Rp76.390.430; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp395.941.570;TUTUP
;;Pajak;Rp31.955.114;Rp7.639.043; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp39.594.157;
;;Setor;Rp31.955.114;Rp7.639.043; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp39.594.157;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
18;32.78.1.0003089.02.004 / PT. RICHEESE KULINER INDONESIA / Jl. Hz. Mustofa No. 326 Tasikmalaya Jawa Barat;Omset;Rp1.114.623.060;Rp911.188.420;Rp864.711.110;Rp1.147.421.820;Rp1.197.193.250;Rp734.108.710;Rp658.918.520;Rp755.526.870;Rp673.645.290;Rp590.656.820;Rp580.325.860; Rp- ;Rp9.228.319.730;AKTIF
;;Pajak;Rp111.462.306;Rp91.118.842;Rp86.471.111;Rp114.742.182;Rp119.719.325;Rp73.410.871;Rp65.891.852;Rp75.552.687;Rp67.364.529;Rp59.065.682;Rp58.032.586; Rp- ;Rp922.831.973;
;;Setor;Rp111.462.306;Rp91.118.842;Rp86.471.111;Rp114.742.182;Rp119.719.325;Rp73.410.871;Rp65.891.852;Rp75.552.687;Rp67.364.529;Rp59.065.682;Rp58.032.586; Rp- ;Rp922.831.973;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
19;32.78.1.0003128.02.003 / MAXWELL RESTO / Jl. Veteran No.89. Nagarawangi. Kec. Cihideung. Tasikmalaya. Jawa Barat 46124;Omset;Rp97.632.525;Rp84.608.818;Rp76.434.318;Rp99.804.752;Rp105.254.409;Rp67.781.700;Rp80.770.873;Rp75.153.418;Rp74.341.227;Rp70.617.527; Rp- ; Rp- ;Rp832.399.567;AKTIF
;;Pajak;Rp9.763.253;Rp8.460.882;Rp7.643.432;Rp9.980.475;Rp10.525.441;Rp6.778.170;Rp8.077.087;Rp7.515.342;Rp7.434.123;Rp7.061.753; Rp- ; Rp- ;Rp83.239.958;
;;Setor;Rp9.763.253;Rp8.460.882;Rp7.643.432;Rp9.980.475;Rp10.525.441;Rp6.778.170;Rp8.077.087;Rp7.515.342;Rp7.434.123;Rp7.061.753; Rp- ; Rp- ;Rp83.239.958;
;;Denda;Rp97.633;Rp84.609;Rp76.435;Rp99.805;Rp105.254;Rp67.782;Rp80.771;Rp75.153;Rp74.342; Rp- ; Rp- ; Rp- ;Rp664.151;
;;Setor Denda;Rp97.633;Rp84.609;Rp76.435;Rp99.805;Rp105.254;Rp67.782;Rp80.771;Rp75.153;Rp74.342; Rp- ; Rp- ; Rp- ;Rp664.151;
20;32.78.1.0003162.03.003 / PHD SIMPANG LIMA TASIKMALAYA / JL. R.E MARTHADINATA NO. 17;Omset;Rp307.690.780;Rp246.924.200;Rp239.396.920;Rp299.073.400;Rp401.477.740;Rp321.798.600;Rp309.215.790;Rp311.266.550;Rp325.854.300;Rp284.078.940;Rp292.820.840; Rp- ;Rp3.339.598.060;AKTIF
;;Pajak;Rp30.769.078;Rp24.692.420;Rp23.939.692;Rp29.907.340;Rp40.147.774;Rp32.179.860;Rp30.921.579;Rp31.126.655;Rp32.585.430;Rp28.407.894;Rp29.282.084; Rp- ;Rp333.959.806;
;;Setor;Rp30.769.078;Rp24.692.420;Rp23.939.692;Rp29.907.340;Rp40.147.774;Rp32.179.860;Rp30.921.579;Rp31.126.655;Rp32.585.430;Rp28.407.894;Rp29.282.084; Rp- ;Rp333.959.806;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
21;32.78.1.0003261.08.002 / SHUKAGRILL ALL YOU CAN EAT / Jl. Otista No. 2;Omset;Rp285.034.160;Rp199.053.260;Rp264.560.030;Rp234.195.420;Rp266.436.890;Rp180.783.950;Rp163.141.700;Rp200.401.950;Rp179.201.580;Rp178.856.200;Rp225.374.500; Rp- ;Rp2.377.039.640;AKTIF
;;Pajak;Rp28.503.416;Rp19.905.326;Rp26.456.003;Rp23.419.542;Rp26.643.689;Rp18.078.395;Rp16.314.170;Rp20.040.195;Rp17.920.158;Rp17.885.620;Rp22.537.450; Rp- ;Rp237.703.964;
;;Setor;Rp28.503.416;Rp19.905.326;Rp26.456.003;Rp23.419.542;Rp26.643.689;Rp18.078.395;Rp16.314.170;Rp20.040.195;Rp17.920.158;Rp17.885.620; Rp- ; Rp- ;Rp215.166.514;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
22;32.78.1.0003263.02.005 / LAZATTO / Paseh;Omset;Rp26.266.500;Rp34.318.800;Rp33.430.300;Rp34.222.200;Rp32.175.200;Rp34.275.200;Rp33.004.000;Rp33.950.300;Rp30.587.400;Rp26.228.500;Rp27.174.800; Rp- ;Rp345.633.200;AKTIF
;;Pajak;Rp2.626.650;Rp3.431.880;Rp3.343.030;Rp3.422.220;Rp3.217.520;Rp3.427.520;Rp3.300.400;Rp3.395.030;Rp3.058.740;Rp2.622.850;Rp2.717.480; Rp- ;Rp34.563.320;
;;Setor;Rp2.626.650;Rp3.431.880;Rp3.343.030;Rp3.422.220;Rp3.217.520;Rp3.427.520;Rp3.300.400;Rp3.395.030;Rp3.058.740;Rp2.622.850;Rp2.717.480; Rp- ;Rp34.563.320;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
23;32.78.1.0003603.02.004 / AMARIS HOTEL RESTO / JL HZ MUSTOFA NO 382;Omset;Rp207.622.628;Rp158.290.866;Rp121.789.953;Rp275.463.125;Rp175.936.366;Rp150.913.531;Rp115.218.131;Rp174.149.938;Rp61.531.670;Rp104.486.294;Rp327.131.734; Rp- ;Rp1.872.534.236;AKTIF
