NAMA_WP,Kategori,Total_Omset_12Bulan,Total_Pajak_12Bulan,Efektivitas_Pajak,Risk_Label,prediction,Segmentasi
GYUMBOX,Resto Umum,469215698,54660150.806516565,11.64925846291817,0,0,Silver (Small)
SEMBILAN SATU SATU,Resto Umum,265016200,30921999.197796248,11.667965127279174,0,0,Silver (Small)
THE OTHER SIDE,Resto Umum,833247800,97072932.4961261,11.64994748238548,0,0,Silver (Small)
YELLOW BOX,Resto Umum,379000000,44179416.07366287,11.656837645077138,0,0,Silver (Small)
KEBON DJATI EATERY,Resto Umum,852246840,99423379.67513286,11.666030732975106,0,0,Silver (Small)
PAPABURJO,Resto Umum,16925000,1978552.3825511786,11.690109186044763,0,0,Silver (Small)
BENTO KOPI,Cafe,637197660,74242337.15929659,11.651382360872246,0,0,Silver (Small)
KOPI ARA,Cafe,277328600,32307760.62834399,11.64963124264437,0,0,Silver (Small)
SOMETHINK,Resto Umum,23152800,2698739.823053064,11.656207561539668,0,0,Silver (Small)
SILOKA COFFE LAB,Resto Umum,1038911110,121220821.40233898,11.668064653016486,0,0,Silver (Small)
KARMA COFFEE,Cafe,735213052,85690318.23228066,11.655168063265082,0,0,Silver (Small)
RUANG RENJANA COFFEE,Cafe,316342434,37062529.52073637,11.715952123837459,0,0,Silver (Small)
RAMEN 44,Resto Umum,81471680,9528183.860931983,11.695085283035468,0,0,Silver (Small)
LABBAIK CHICKEN,Resto Umum,150393920,17544207.215710748,11.665502046791854,0,0,Silver (Small)
RIUNG GENAH,Resto Umum,62320000,7284864.327801759,11.689446285411112,0,0,Silver (Small)
STEAK STASIUN,Resto Umum,2145013992,249852039.29444987,11.648037673811377,0,0,Silver (Small)
MOON COFFEE SPACE,Cafe,176677220,20597092.160497285,11.658034217163468,0,0,Silver (Small)
WEDRINK,Resto Umum,232695342,27174179.035072632,11.678006701875375,0,0,Silver (Small)
ALCHEMIST ROASTERY,Resto Umum,683574000,79641395.46042088,11.65073482349134,0,0,Silver (Small)
PAWON AMBU,Resto Umum,835767000,97365487.3469789,11.649836132438654,0,0,Silver (Small)
PIN'S BAKERY & COFFEE,Cafe,31000000,3669613.870952036,11.837459517602882,0,0,Silver (Small)
KOPI DI MAMANG,Cafe,42352000,4945126.381492735,11.67624900912083,0,0,Silver (Small)
MOMOYO SILIWANGI,Resto Umum,322338000,37547295.77107933,11.648423199644022,0,0,Silver (Small)
TOMORO COFFEE,Cafe,1612952156,187894704.9732813,11.649118225636142,0,0,Silver (Small)
CAFE ALTITUDE,Cafe,249770834,29151706.625594627,11.671380824643812,0,0,Silver (Small)
KONICHIWA KOPI,Cafe,121518000,14176271.173202911,11.66598345371459,0,0,Silver (Small)
BANDARJAYA KOPI INDONESIA,Cafe,1737284000,202385561.6917786,11.64953803142342,0,0,Silver (Small)
MIKO,Resto Umum,170000000,19801234.791122537,11.64778434905201,0,0,Silver (Small)
CROWN LOUNGE DAN CAFE,Cafe,19179800,2267944.222027427,11.824642608735827,0,0,Silver (Small)
MATHEA COFFEE,Cafe,591201994,68939640.98465903,11.660928123552244,0,0,Silver (Small)
TODAYS HERITAGE,Resto Umum,897820566,104639937.64363018,11.654882969682856,0,0,Silver (Small)
KOPITIAM 242,Cafe,739865000,86240782.14216352,11.656286044536394,0,0,Silver (Small)
CFC ASIA PLAZA,Resto Umum,989238462,115259764.07312031,11.651362851574685,0,0,Silver (Small)
DOMO.ID TASIKMALAYA,Resto Umum,3349436462,390249143.5211162,11.651188089412207,0,2,Gold (Middle)
KOPI SILOKA SILIWANGI,Cafe,685180512,79868705.6535591,11.656593095684533,0,0,Silver (Small)
LABBAIK CHICKEN SILIWANGI,Resto Umum,178727290,20832361.43258552,11.655948027786778,0,0,Silver (Small)
LITTLE CONTRAST,Resto Umum,212579100,24885996.10180747,11.706698681574824,0,0,Silver (Small)
KOPILOGI,Cafe,968061080,112770232.15449266,11.649082179463592,0,0,Silver (Small)
ONG'S 1947 BAKEERY & KOPITIAM,Cafe,211046200,24634715.0826604,11.672663938957786,0,0,Silver (Small)
AYAM GULING ENAKKO,Resto Umum,130465106,15213599.193151746,11.661047356084671,0,0,Silver (Small)
